2NE1	Q171885
Françoise Barré-Sinoussi	Q103844
Siad Barre	Q209828
Lima Barreto	Q383442
Elizabeth Barrett Browning	Q228494
J. M. Barrie	Q81796
René Barrientos	Q332074
Ayinde Barrister	Q8195511
Clarence W. Barron	Q5126794
Adama Barrow	Q27917049
Dean Barrow	Q57701
Errol Barrow	Q1361644
Elizabeth Barry	Q2403674
John Barry (composer)	Q111074
John Barry (naval officer)	Q1593841
Madame du Barry	Q230677
Ethel Barrymore	Q230147
John Barrymore	Q95034
Lionel Barrymore	Q295593
Maurice Barrymore	Q2762175
Gino Bartali	Q155010
Heinrich Barth	Q60141
Richard Barthelmess	Q457293
Roland Barthes	Q179109
Frédéric Auguste Bartholdi	Q223274
Bartholomew I of Constantinople	Q44501
Bartholomew the Apostle	Q43982
Jean Bartik	Q11428
Frederic Bartlett	Q471927
Vasily Bartold	Q326005
Cecilia Bartoli	Q18828
Clara Barton	Q188039
Edmund Barton	Q23342
Garfield Barwick	Q1445155
Jacques Barzun	Q712946
Martin Bashir	Q951095
Omar al-Bashir	Q57265
Count Basie	Q107008
Basil I	Q41592
Kim Basinger	Q131380
Nikolay Basov	Q83557
Jean-Michel Basquiat	Q155407
Hasan al-Basri	Q293500
Saul Bass	Q536884
William M. Bass	Q2579797
Albert Bassermann	Q64150
Shirley Bassey	Q234754
Laura Bassi	Q541652
Marco van Basten	Q483629
Frédéric Bastiat	Q13515
Georges Bataille	Q207359
Kathy Bates	Q544465
Gregory Bateson	Q314252
William Bateson	Q297302
Elizabeth Báthory	Q170846
Fulgencio Batista	Q11270
Gabriel Batistuta	Q170376
José Batlle y Ordóñez	Q15145
Zamenga Batukezanga	Q3574719
Baudouin of Belgium	Q12976
Jean Baudrillard	Q182847
Yevgeni Bauer	Q1688645
Sammy Baugh	Q372640
L. Frank Baum	Q207544
Zygmunt Bauman	Q158092
Felix Baumgartner	Q4203
Pina Bausch	Q155538
Anne Baxter	Q228906
Warner Baxter	Q312073
Michael Bay	Q59259
Bayan of the Baarin	Q846112
Celâl Bayar	Q151735
Pierre Terrail, seigneur de Bayard	Q552017
Thomas Bayes	Q208452
Pierre Bayle	Q214816
Elgin Baylor	Q357458
Bayram al-Tunisi	Q3277788
Joseph Bazalgette	Q981915
Álvaro de Bazán, Marquis of Santa Cruz	Q251441
André Bazin	Q362544
Amy Beach	Q235699
Bob Beamon	Q52604
Alan Bean	Q310924
Charles Bean	Q5075487
James Beard	Q1399476
Mary Beard	Q458403
Felice Beato	Q318352
Cecil Beaton	Q697096
Beatrix of the Netherlands	Q29574
James Beattie (poet)	Q915031
Warren Beatty	Q95030
Francis Beaufort	Q21186
Joséphine de Beauharnais	Q171480
Pierre-Augustin de Beaumarchais	Q70326
Francis Beaumont	Q313932
P. G. T. Beauregard	Q313976
Ernest Beaux	Q1356245
Max Aitken, 1st Baron Beaverbrook	Q332454
John Beazley	Q704230
Sidney Bechet	Q313519
Aaron Beck	Q302849
Jeff Beck	Q192474
Ludwig Beck	Q57170
Ulrich Beck	Q76844
Boris Becker	Q76334
Gary Becker	Q191020
Thomas Becket	Q192236
Tyson Beckford	Q738212
David Beckham	Q10520
Max Beckmann	Q164683
Gustavo Adolfo Bécquer	Q203715
Georg Bednorz	Q76687
Demyan Bedny	Q439566
Bee Gees	Q133405
Thomas Beecham	Q313714
Henry Ward Beecher	Q1607404
Auguste Beernaert	Q202049
Wallace Beery	Q322179
Isabella Beeton	Q287665
Antony Beevor	Q380229
Menachem Begin	Q130873
Martin Behaim	Q44838
Brendan Behan	Q313063
Aphra Behn	Q231886
Thug Behram	Q2422185
Peter Behrens	Q76726
Emil von Behring	Q76425
Hossein Behzad	Q464988
Kamāl ud-Dīn Behzād	Q334875
Bix Beiderbecke	Q225131
Martinus Beijerinck	Q25539274
Bahram Beyzai	Q803646
Maurice Béjart	Q217764
Norman Bel Geddes	Q278247
Harry Belafonte	Q214959
David Belasco	Q562719
Fernando Belaúnde	Q116736
René Belbenoît	Q3425816
Jordan Belfort	Q3183674
Manuel Belgrano	Q315507
Bill Belichick	Q720027
Vissarion Belinsky	Q192885
Belisarius	Q174943
Jean Béliveau	Q505479
Jocelyn Bell Burnell	Q233974
Art Bell	Q4355602
Charles Bell	Q451727
Daniel Bell	Q316330
Derrick Bell	Q5262976
Gertrude Bell	Q231360
Ahmed Ben Bella	Q179908
Robert Bellarmine	Q298664
Joachim du Bellay	Q18420
Charles Louis Auguste Fouquet, duc de Belle-Isle	Q697511
David Belle	Q333814
Meriam Bellina	Q12498215
Fabian Gottlieb von Bellingshausen	Q76754
Gentile Bellini	Q290407
Giovanni Bellini	Q17169
Vincenzo Bellini	Q170209
Carl Michael Bellman	Q312498
Richard E. Bellman	Q441199
Jean-Paul Belmondo	Q106255
Alva Belmont	Q448169
Juan Belmonte	Q715596
Carlos Filipe Ximenes Belo	Q234001
Sergei Belov	Q435891
John Belushi	Q23858
Andrei Bely	Q212632
Alexander Belyaev	Q497925
Giovanni Belzoni	Q180339
Ludwig Bemelmans	Q76414
Samuel Flagg Bemis	Q3946617
Zine El Abidine Ben Ali	Q204487
Eliezer Ben-Yehuda	Q181728
Richie Benaud	Q2739019
Jacinto Benavente	Q83184
Óscar R. Benavides	Q129005
Amelia Bence	Q4083859
Brian Michael Bendis	Q720012
Mario Benedetti	Q16285
Pope Benedict XIV	Q126711
Pope Benedict XV	Q4448
Pope Benedict XVI	Q2494
Ruth Benedict	Q228822
Edvard Beneš	Q152274
Ota Benga	Q557565
Paul Bénichou	Q1320604
Roberto Benigni	Q23301
David Benioff	Q503997
Benjamin of Tudela	Q318820
Harry Benjamin	Q185435
Walter Benjamin	Q61078
Benkei	Q316898
Tony Benn	Q332412
Bennelong	Q817828
Gwendolyn B. Bennett	Q3780149
James Gordon Bennett Sr.	Q1343611
James Gordon Bennett Jr.	Q725172
R. B. Bennett	Q128641
Tony Bennett	Q296729
Jack Benny	Q148732
Chris Benoit	Q44292
Eric Bentley	Q1351104
Richard Bentley	Q712899
Thomas Hart Benton (painter)	Q471764
Thomas Hart Benton (politician)	Q1317969
Bertha Benz	Q77117
Serdar Berdimuhamedow	Q51874548
Gurbanguly Berdimuhamedow	Q57530
Berengar I of Italy	Q274606
Bernard Berenson	Q359047
Mary Berenson	Q6779039
William Beresford, 1st Viscount Beresford	Q332633
Boris Berezovsky (businessman)	Q311019
Alan Berg	Q2543495
Alban Berg	Q78475
Patty Berg	Q453588
Candice Bergen	Q106942
Edgar Bergen	Q721957
Jens Bergensten	Q167056
John Berger	Q382604
Olga Berggolts	Q237518
Dennis Bergkamp	Q185389
Lavrentiy Beria	Q141829
Luciano Berio	Q221450
Sali Berisha	Q57625
Alexander Berkman	Q195390
David Berkowitz	Q352717
Milton Berle	Q558933
Elwyn Berlekamp	Q1314603
Silvio Berlusconi	Q11860
Shelley Berman	Q2620610
Francisco Morales Bermúdez	Q116630
Ishmael Bernal	Q3547025
Ben Bernanke	Q201795
Georges Bernanos	Q315072
Bernard of Clairvaux	Q188411
Kathryn Bernardo	Q3545867
William Bernbach	Q326108
Ernst Bernheim	Q62991
Bernoulli family	Q826719
Carl Bernstein	Q319967
Dorothy Lewis Bernstein	Q5298509
Yogi Berra	Q367566
Halle Berry	Q1033016
John Berryman	Q522192
Claude Louis Berthollet	Q312587
Alphonse Bertillon	Q568386
Rose Bertin	Q462552
Francesca Bertini	Q434941
Bernardo Bertolucci	Q53009
Carolyn Bertozzi	Q7442
Aloysius Bertrand	Q366464
James FitzJames, 1st Duke of Berwick	Q166023
Annie Besant	Q464318
Friedrich Wilhelm Bessel	Q75845
Henry Bessemer	Q310201
Luc Besson	Q484779
Bessus	Q296434
George Best	Q164521
Rómulo Betancourt	Q332081
Belisario Betancur	Q345571
Roger Béteille	Q3438767
Theobald von Bethmann Hollweg	Q77113
Mary McLeod Bethune	Q291068
John Betjeman	Q962308
Bruno Bettelheim	Q84386
Liliane Bettencourt	Q297804
Gary Bettman	Q383983
Hubert Beuve-Méry	Q84021
Joseph Beuys	Q153965
Aneurin Bevan	Q325403
William Beveridge	Q335049
Bayezid II	Q165983
Beyoncé	Q36153
Marcel Bezençon	Q123753
Jeff Bezos	Q312556
Homi J. Bhabha	Q325611
Shereen Bhan	Q7494807
Bidya Devi Bhandari	Q16193958
Sanjay Leela Bhansali	Q633252
Bhartṛhari	Q335161
Bhāsa	Q2015247
Abdul Hamid Khan Bhashani	Q70813
Bhāskara I	Q470902
Bhāskara II	Q213385
Alia Bhatt	Q4725343
Mahesh Bhatt	Q2347152
Bhavabhuti	Q29057
Jarnail Singh Bhindranwale	Q358874
Asha Bhosle	Q38393
Zulfikar Ali Bhutto	Q131355
Bi Sheng	Q200662
Heinrich Ignaz Franz Biber	Q153455
Josef Bican	Q352017
Hyacinth (Bichurin)	Q381482
Derek Bickerton	Q1200003
Joe Biden	Q6279
John Bidwell	Q1699334
Justin Bieber	Q34086
Ambrose Bierce	Q191050
Bolesław Bierut	Q55832
BigBang (South Korean band)	Q282104
Kathryn Bigelow	Q34816
Ronnie Biggs	Q560955
Olavo Bilac	Q982354
Bilal ibn Rabah	Q493136
Dima Bilan	Q42904
Bilhana	Q3561001
Jacques-Nicolas Billaud-Varenne	Q504135
William Billings	Q1348460
James H. Billington	Q137576
Billy the Kid	Q44200
Abd al-Rahman ibn Awf	Q1647771
Qaboos bin Said	Q57331
Gilles Binchois	Q214964
Alfredo Binda	Q318051
Bindusara	Q315526
Alfred Binet	Q207478
Lewis Binford	Q381783
Hiram Bingham III	Q237220
William Bingham	Q2113530
Gerd Binnig	Q76766
Juliette Binoche	Q106275
Julius Maada Bio	Q283829
Jean-Baptiste Biot	Q58328
Isabella Bird	Q288210
Larry Bird	Q190152
Sue Bird	Q240672
Vere Bird	Q561911
Clarence Birdseye	Q1095376
William Birdwood	Q336442
Birendra of Nepal	Q162306
G. D. Birla	Q3630453
Joan Birman	Q450308
László Bíró	Q312680
Harrison Birtwistle	Q354335
Elizabeth Bishop	Q235946
Maurice Bishop	Q468234
Salah al-Din al-Bitar	Q500447
Georges Bizet	Q56158
Bjarni Herjólfsson	Q355228
Joh Bjelke-Petersen	Q1528405
Vilhelm Bjerknes	Q164389
Marit Bjørgen	Q216256
Björk	Q42455
Jussi Björling	Q56157
Ole Einar Bjørndalen	Q189408
Bjørnstjerne Bjørnson	Q46405
Black Dahlia	Q233693
Black Eyed Peas	Q134541
Black Flag (band)	Q464476
Black Hawk (Sauk leader)	Q714534
Conrad Black	Q336444
Davidson Black	Q1177683
Fischer Black	Q963275
Greene Vardiman Black	Q1356596
Hugo Black	Q459752
Jack Black	Q483907
Joseph Black	Q272512
Elizabeth Blackburn	Q26321
Simon Blackburn	Q287357
Patrick Blackett	Q184499
Jack Blackham	Q3157130
Susan Blackmore	Q155199
Blackpink	Q25056945
Harry Blackstone Sr.	Q10293997
Rubén Blades	Q474980
David Blaine	Q353983
Hal Blaine	Q1570092
James G. Blaine	Q448778
Geoffrey Blainey	Q593424
Bonnie Blair	Q231513
Mary Blair	Q231082
Tony Blair	Q9545
Robert Blake (admiral)	Q320959
Toe Blake	Q285583
Art Blakey	Q311715
Thomas Blamey	Q952813
Dominique Blanc (actress)	Q271481
Mel Blanc	Q349690
Jean-Pierre Blanchard	Q366649
Olivier Blanchard	Q241094
Sophie Blanchard	Q241755
Cate Blanchett	Q80966
Maurice Blanchot	Q315210
Manuel Blanco Encalada	Q1331
Griselda Blanco	Q509644
Serge Blanco	Q1322456
Louis Désiré Blanquart-Evrard	Q456697
Carlo Blasis	Q944176
Sepp Blatter	Q483437
Peter Blau	Q215834
Carl Blegen	Q552469
Eugen Bleuler	Q115506
Ninja (gamer)	Q50825725
Mary J. Blige	Q228909
Blink-182	Q482477
Wolf Blitzer	Q49079
Felix Bloch	Q123022
Marc Bloch	Q156585
Martin Block	Q453930
Nicolaas Bloembergen	Q189987
Alexander Blok	Q164765
Oleg Blokhin	Q186691
Blondie (band)	Q202741
Alpha Blondy	Q323213
Benjamin Bloom	Q436017
Harold Bloom	Q345612
Michael Bloomberg	Q607
Leonard Bloomfield	Q215957
Kurtis Blow	Q961447
Gebhard Leberecht von Blücher	Q153522
Vasily Blyukher	Q48129
Blue Demon	Q885681
Guion Bluford	Q528943
Léon Blum	Q18434
Judy Blume	Q441214
Johann Friedrich Blumenbach	Q58588
Heston Blumenthal	Q1616078
Leonhard Graf von Blumenthal	Q69748
Anthony Blunt	Q508392
Wilfrid Scawen Blunt	Q706891
Blur (band)	Q485820
Don Bluth	Q448957
Bo Xilai	Q21822
BoA	Q232449
Bob Marley and the Wailers	Q2525354
Luigi Boccherini	Q189766
Bocchus I	Q530576
Umberto Boccioni	Q152797
Andrea Bocelli	Q42402
Fedor von Bock	Q70534
Arnold Böcklin	Q123071
Paul Bocuse	Q8159
Bodawpaya	Q796571
Hendrik Wade Bode	Q714462
Jean Bodin	Q190944
Sergei Bodrov Jr.	Q508904
Jakob Böhme	Q77017
William E. Boeing	Q214826
Boethius	Q102851
Barthélemy Boganda	Q346690
Bogd Khan	Q353547
Peter Bogdanovich	Q158250
John C. Bogle	Q504824
Mohammad Ali Bogra	Q469875
Andrzej Bogusławski	Q4759583
Karl Böhm	Q84241
Aage Bohr	Q103854
Matteo Maria Boiardo	Q319557
Nicolas Boileau-Despréaux	Q188857
Emil du Bois-Reymond	Q76571
Gustave Boissonade	Q3121377
Arrigo Boito	Q219491
Edward Bok	Q2913066
Jean-Bédel Bokassa	Q162708
Roberto Bolaño	Q297532
Buddy Bolden	Q436176
Bolesław III Wrymouth	Q53441
Anne Boleyn	Q80823
Hassanal Bolkiah	Q57327
Heinrich Böll	Q42747
Nick Bollettieri	Q82335
Jair Bolsonaro	Q10304982
János Bolyai	Q16924
Bernard Bolzano	Q184735
Bon Jovi	Q259254
Joseph Bonanno	Q709936
Joseph Bonaparte	Q7726
Walter Bonatti	Q53729
Alan Bond	Q550179
Roberta Bondar	Q258385
Sergei Bondarchuk	Q55190
Dmitri Bondarenko	Q4093196
Barry Bonds	Q314712
Boney M.	Q156298
Bong Joon Ho	Q495980
Ali Bongo	Q57521
Omar Bongo	Q172083
Rosa Bonheur	Q241732
Dietrich Bonhoeffer	Q76326
Andrés Bonifacio	Q313604
Pierre Bonnard	Q26408
Benjamin Bonneville	Q2896167
Bonnie and Clyde	Q219937
Anne Bonny	Q231549
Bono	Q834621
Paolo Bonolis	Q2050319
Aimé Bonpland	Q405702
Boogie Down Productions	Q892968
Murray Bookchin	Q315910
Booker T. & the M.G.'s	Q893007
Daniel Boone	Q316661
John Boorman	Q55277
Daniel J. Boorstin	Q551252
Edwin Booth	Q798506
Hubert Cecil Booth	Q339865
John Wilkes Booth	Q180914
Shirley Booth	Q253308
William Booth	Q309882
Franz Bopp	Q76934
Raichand Boral	Q7283700
Juan María Bordaberry	Q313531
Lizzie Borden	Q240496
Robert Borden	Q128655
Allan Border	Q1392194
David Bordwell	Q638397
Émile Borel	Q154356
Björn Borg	Q104506
Victor Borge	Q251417
Gutzon Borglum	Q336432
Ernest Borgnine	Q102551
Gabriel Boric	Q16297876
Rodrigo Borja Cevallos	Q743354
Frank Borman	Q18762
Martin Bormann	Q76367
Bertran de Born	Q4510
Alexander Borodin	Q164004
Svetozar Boroević	Q93363
Francesco Borromini	Q123150
Paolo Borsellino	Q312302
Brian Boru	Q272498
Leonard Bosack	Q3229666
Bernard Bosanquet (philosopher)	Q822329
Carl Bosch	Q76606
Robert Bosch	Q71032
Roger Joseph Boscovich	Q310757
Jagadish Chandra Bose	Q314267
Nandalal Bose	Q3348980
Hugo Boss (businessman)	Q63219
Jacques-Bénigne Bossuet	Q294100
Mike Bossy	Q372804
Nick Bostrom	Q460475
The Boswell Sisters	Q894612
James Boswell	Q335060
Fernando Botero	Q272877
Louis Botha	Q159397
P. W. Botha	Q212286
Ian Botham	Q982121
Walther Bothe	Q76474
Giovanni Bottesini	Q354101
Mikhail Botvinnik	Q178865
Mohamed Bouazizi	Q214088
Laskarina Bouboulina	Q237429
François Boucher	Q180932
Mohamed Boudiaf	Q314691
Louis Antoine de Bougainville	Q153911
William-Adolphe Bouguereau	Q483992
Dutty Boukman	Q1268017
George Albert Boulenger	Q435731
André-Charles Boulle	Q128964
Matthew Boulton	Q469269
Houari Boumédiène	Q310855
Charles X of France	Q7758
Nicholas Bourbon (the elder)	Q3340138
Anthony Bourdain	Q426582
Antoine Bourdelle	Q314350
Louise Bourgeois	Q159409
Habib Bourguiba	Q643348
Margaret Bourke-White	Q238364
Matthew Bourne	Q1139570
August Bournonville	Q448812
Ray Bourque	Q715566
Louise Boursier	Q1623082
Bourvil	Q2750
Viktor Bout	Q314650
Abdelaziz Bouteflika	Q57308
Dési Bouterse	Q57667
Boutros Boutros-Ghali	Q1257
Clara Bow	Q234640
Bill Bowerman	Q861967
James Bowie	Q433657
John Bowlby	Q128868
Scotty Bowman	Q920331
John Bowring	Q332508
George E. P. Box	Q957661
Charles Boycott	Q455534
Angelique Boyer	Q1262572
Charles Boyer	Q105987
Jean-Pierre Boyer	Q449421
Danny Boyle	Q134867
Willard Boyle	Q73058
Beastie Boys	Q214039
Boyz II Men	Q651231
François Bozizé	Q57452
Jack Brabham	Q2125
Anne Bracegirdle	Q750975
Steven Bradbury	Q371914
William Bradford (governor)	Q1210370
Caleb Bradham	Q706204
Charles Bradlaugh	Q387458
Ed Bradley	Q766913
F. H. Bradley	Q350236
Marion Zimmer Bradley	Q465179
Milton Bradley	Q1651497
Omar Bradley	Q207955
Terry Bradshaw	Q633263
Anne Bradstreet	Q242332
Mathew Brady	Q187850
Cecilia Brækhus	Q292783
Sônia Braga	Q238993
Lawrence Bragg	Q131729
Randolph L. Braham	Q2919282
James Braid (surgeon)	Q675789
Dennis Brain	Q919550
Stan Brakhage	Q698676
Donato Bramante	Q7793
Kenneth Branagh	Q55294
Stewart Brand	Q971994
Louis Brandeis	Q520840
William M. Branham	Q383307
Samuel Brannan	Q936075
Richard Branson	Q194419
Joseph Brant	Q505146
Georges Braque	Q153793
Walter Brattain	Q184577
Eva Braun	Q76433
K. Ferdinand Braun	Q57077
Michael the Brave	Q118755
Ross Brawn	Q173140
Toni Braxton	Q155412
T. Berry Brazelton	Q3106664
Eugénie Brazier	Q2856817
Pierre Savorgnan de Brazza	Q319834
Julian Bream	Q453583
James Henry Breasted	Q365982
John C. Breckinridge	Q273212
Goran Bregović	Q193273
Catherine Breillat	Q289054
Stéphane Breitwieser	Q724396
Anders Behring Breivik	Q44220
Arno Breker	Q61055
Jacques Brel	Q1666
Alfred Brendel	Q84148
Walter Brennan	Q219521
William J. Brennan Jr.	Q717401
Brennus (leader of the Senones)	Q314911
Clemens Brentano	Q57235
Franz Brentano	Q57196
Lujo Brentano	Q62830
Gaetano Bresci	Q378693
André Breton	Q161955
Marcel Breuer	Q57588
David Brewster	Q168468
Breyten Breytenbach	Q364207
Aristide Briand	Q179888
Fanny Brice	Q153358
Dan Bricklin	Q92624
Jim Bridger	Q713423
Jeff Bridges	Q174843
Robert Bridges	Q925991
Ruby Bridges	Q469860
Percy Williams Bridgman	Q172118
Norman Bridwell	Q3878461
Henry Briggs (mathematician)	Q335086
Katharine Cook Briggs	Q2750262
Sarah Brightman	Q151814
Sergey Brin	Q92764
Christie Brinkley	Q253476
David Brinkley	Q766880
Jacques Pierre Brissot	Q314984
Elbazduko Britayev	Q2342198
Karl Bryullov	Q4768
Jim Broadbent	Q185079
Albert R. Broccoli	Q72652
Lino Brocka	Q983322
Bertram Brockhouse	Q192689
Erin Brockovich	Q232019
Martin Brodeur	Q357465
Steve Brodie (bridge jumper)	Q7612035
Adrien Brody	Q104514
Tom Brokaw	Q919527
Alexandre Brongniart	Q442937
Charles Bronson	Q36105
Anne Brontë	Q44520
Charlotte Brontë	Q127332
Emily Brontë	Q80137
Bronzino	Q7803
Herman Brood	Q719447
Peter Brook	Q49760
Rupert Brooke	Q366086
Anita Brookner	Q237687
Garth Brooks	Q216288
Gwendolyn Brooks	Q270715
Herb Brooks	Q1390562
James L. Brooks	Q95125
Louise Brooks	Q152779
Mel Brooks	Q104266
Rebekah Brooks	Q234179
Big Bill Broonzy	Q449239
Pierce Brosnan	Q81520
Nicholas Brothers	Q1786868
Jack Broughton	Q1346464
L. E. J. Brouwer	Q155887
Antoinette Brown Blackwell	Q549506
Bobbi Brown	Q281024
Charles Brockden Brown	Q468280
Chris Brown	Q155700
Dan Brown	Q7345
Eric Brown (pilot)	Q348719
George Brown (Canadian politician)	Q642382
Gordon Brown	Q10648
Jim Brown	Q927916
John Brown (abolitionist)	Q189366
Michael E. Brown	Q298913
Paul Brown	Q968798
Robert Brown (botanist, born 1773)	Q155764
T. Allston Brown	Q4096119
Walter A. Brown	Q984087
Harry Browne	Q3736354
Sylvia Browne	Q335100
Thomas Browne	Q313925
John Browning	Q220520
Oscar Browning	Q7105899
Robert Browning	Q233265
Tod Browning	Q51476
Alistair Brownlee	Q716308
Kevin Brownlow	Q1724729
Susan Brownmiller	Q434521
Dave Brubeck	Q108597
Lenny Bruce	Q460876
Stanley Bruce	Q23358
Jan Brueghel the Elder	Q209050
Pieter Brueghel the Younger	Q255828
Cathal Brugha	Q560482
Heinrich von Brühl	Q214949
Erik Bruhn	Q1320382
Klaas Bruinsma (drug lord)	Q1744169
Beau Brummell	Q561019
Charles Le Brun	Q271676
Avery Brundage	Q155928
Jerome Bruner	Q114867
Marcus Junius Brutus	Q172248
Bryan brothers	Q1156604
William Jennings Bryan	Q205282
Anita Bryant	Q240623
Kobe Bryant	Q25369
Louise Bryant	Q267629
Bear Bryant	Q278804
James Bryce, 1st Viscount Bryce	Q336497
Yul Brynner	Q102813
Valery Bryusov	Q316374
Mika Brzezinski	Q449013
Zbigniew Brzezinski	Q168041
BTS	Q13580495
Chico Buarque	Q333632
Martin Buber	Q84423
Sergey Bubka	Q184556
Martin Bucer	Q318622
Lepke Buchalter	Q288716
James Buchanan	Q12325
James M. Buchanan	Q205353
Georg Büchner	Q154014
Linda B. Buck	Q200136
Pearl S. Buck	Q80900
Jeff Buckley	Q215855
William F. Buckley Jr.	Q378098
Budai	Q599838
Ajahn Buddhadasa	Q714446
Buddhaghosa	Q335247
Don Budge	Q53343
Mikhail Budyko	Q1930289
Semyon Budyonny	Q242474
Ludwig Büchner	Q62831
Buena Vista Social Club	Q842415
Maria Bueno	Q233247
Rodrigo (musician)	Q321108
Buffalo Bill	Q202285
Michael Buffer	Q28783
Georges-Louis Leclerc, Comte de Buffon	Q229264
Gianluigi Buffon	Q68060
Muhammadu Buhari	Q361567
Buhturi	Q930082
Geneviève Bujold	Q232845
Nayib Bukele	Q17712353
Charles Bukowski	Q76409
Whitey Bulger	Q557801
Sandra Bullock	Q40791
Seth Bullock	Q45439
Bernhard von Bülow	Q60113
Hans von Bülow	Q155540
Ralph Bunche	Q213500
Gisele Bündchen	Q152208
Ted Bundy	Q192218
Bungaree	Q1009426
Mario Bunge	Q708853
Anna Bunina	Q4099212
Tamara Bunke	Q213684
Chang and Eng Bunker	Q660581
Bad Bunny	Q44333953
Robert Bunsen	Q71031
Basil Bunting	Q2886803
John Bunyan	Q108206
Richard Burbage	Q433717
Luther Burbank	Q333419
Margaret Burbidge	Q235712
Jacob Burckhardt	Q59945
Chris Burden	Q720832
Burebista	Q309869
Eleanor Alice Burford	Q142106
Warren E. Burger	Q346685
Anthony Burgess	Q217619
Ernest Burgess	Q990849
Guy Burgess	Q918668
Jost Bürgi	Q124025
Julia de Burgos	Q468516
Jean Buridan	Q275500
Cheryl Burke	Q2620638
Mildred Burke	Q6850950
Robert O'Hara Burke	Q560403
Tarana Burke	Q43177774
Walter Burkert	Q61888
Nikolai Bukharin	Q186709
Macfarlane Burnet	Q193550
Carol Burnett	Q255565
Frances Hodgson Burnett	Q276028
Leo Burnett	Q326356
Mark Burnett	Q3294019
Charles Burney	Q547002
Daniel Burnham	Q316639
Forbes Burnham	Q718256
Burning Spear	Q361646
Burns and Allen	Q5000099
Arthur F. Burns	Q284230
George Burns	Q344793
Ken Burns	Q616886
William J. Burns	Q2579424
Aaron Burr	Q179090
Bill Burr	Q13412374
Raymond Burr	Q336877
Edgar Rice Burroughs	Q148234
William S. Burroughs	Q188176
James Burrows	Q3050241
Ellen Burstyn	Q211144
LeVar Burton	Q312570
Richard Burton	Q151973
Richard Francis Burton	Q125057
Tim Burton	Q56008
Boroldai	Q955294
Borzuya	Q1017211
James Busby	Q1186349
Matt Busby	Q206237
Tommaso Buscetta	Q212496
Wilhelm Busch	Q109540
George H. W. Bush	Q23505
Kate Bush	Q636
Vannevar Bush	Q299595
Candace Bushnell	Q254820
Nolan Bushnell	Q335039
Alexander Bustamante	Q265034
Vitalik Buterin	Q16197959
Dick Butkus	Q715511
Judith Butler	Q219368
Nicholas Murray Butler	Q271517
Octavia E. Butler	Q239739
Samuel Butler (poet)	Q258766
Smedley Butler	Q556880
Michel Butor	Q309716
Dick Button	Q572177
Alfred Mosher Butts	Q922223
Norbert Leo Butz	Q5484158
Armin van Buuren	Q62617
Dieterich Buxtehude	Q153637
C. H. D. Buys Ballot	Q441099
Dino Buzzati	Q242095
A. S. Byatt	Q232417
Cyrus Byington	Q956784
Vasil Bykaŭ	Q335794
Amanda Bynes	Q212002
Richard E. Byrd	Q210268
William Byrd	Q208375
Gay Byrne	Q3778922
James F. Byrnes	Q432726
B'z	Q150186
Louis C.K.	Q15079
Francisco Caamaño	Q785325
James Caan	Q95043
Montserrat Caballé	Q151435
Bernardino Caballero	Q738679
José Trinidad Cabañas	Q881007
Alexandre Cabanel	Q310437
John Cabot	Q85642
Sebastian Cabot (explorer)	Q348340
Amílcar Cabral	Q213416
Luís Cabral	Q311443
Juan Rodríguez Cabrillo	Q182491
Frances Xavier Cabrini	Q238983
Andrés Avelino Cáceres	Q334715
John Cadbury	Q1380129
Cædmon	Q381292
Sid Caesar	Q555226
Cafu	Q178683
Nicolas Cage	Q42869
Alessandro Cagliostro	Q312332
James Cagney	Q94041
Cai Chusheng	Q384708
Cai Yuanpei	Q19796
Gustave Caillebotte	Q295144
René Caillié	Q368976
James M. Cain	Q81071
Michael Caine	Q123351
Thomas Cajetan	Q435853
Seru Epenisa Cakobau	Q681408
Santiago Calatrava	Q168482
William Calcraft	Q742138
Alexander Calder	Q151580
Frank Calder	Q1235790
Rafael Caldera	Q311323
Felipe Calderón	Q57269
Erskine Caldwell	Q310464
Zoe Caldwell	Q1995506
John C. Calhoun	Q207191
Jua Cali	Q6298712
Mary Whiton Calkins	Q988129
James Callaghan	Q9576
Calle 13 (band)	Q1027200
Plutarco Elías Calles	Q315066
Callimachus	Q192417
Callippus	Q471218
Jeanne Calment	Q182260
Melvin Calvin	Q49347
Italo Calvino	Q154756
Hebe Camargo	Q6105
Camarón de la Isla	Q312093
Arnolfo di Cambio	Q315249
Pierre-Joseph Cambon	Q649038
Cambyses II	Q182483
David Cameron	Q192
Julia Margaret Cameron	Q230120
Salvadore Cammarano	Q343560
Walter Camp	Q1365766
Tommaso Campanella	Q191850
Henry Campbell-Bannerman	Q106618
Clarence Campbell	Q1095380
Glen Campbell	Q162667
John W. Campbell	Q435056
Joseph Campbell	Q295516
Lyle Campbell	Q1450352
Naomi Campbell	Q199369
Thomas Campbell (poet)	Q1361189
David Campese	Q1173922
Robert Campin	Q80442
